fileNo,County,Year,Totalhumanexposures,AnimalExposures,InformationCalls,Age_Under12mo,Age_1yr,Age_2yr,Age_3yr,Age_4yr,Age_5yr,Age_6-12yr,Age_13-19yr,Age_20-59yr,Age_Over60yr,Age_Adult,Age_Unknown,Age_UnknownAdult,Age_UnknownChild,Intentional,Intentional_Abuse,Intentional_Misuse,Intentional_SuspectedSuicide,Intentional_Unknown,ManageSite_HealthcareFacility,ManageSite_OnSite.NonHealthcareFacility,ManageSite_Other.Unknown,ManageSite_RefusedReferral,MedOutcome_Death,MedOutcome_MajorEffect,MedOutcome_MinorEffect,MedOutcome_ModerateEffect,MedOutcome_NoEffect,MedOutcome_Other.Unknown,OtherReason,Other_AdverseReaction.Drug,Other_AdverseReaction.Food,Other_AdverseReaction.Other,Other_Contamination.Tampering,Other_Malicious,Other_Other.Unknown,Other_Withdrawal,Unintentional,Unintentional_Bite.Sting,Unintentional_Environmental,Unintentional_FoodPoisoning,Unintentional_General,Unintentional_Misuse,Unintentional_Occupational,Unintentional_Other.Unknown,Unintentional_TherapeuticError
96,"Worcester County, MD",2009,398,15,402,23,70,82,29,6,10,31,21,NA,NA,124,2,NA,NA,44,5,7,31,1,73,320,2,3,0,2,250,14,122,10,3,1,NA,1,1,NA,NA,NA,351,5,1,5,228,46,7,NA,59
97,"Allegany County, MD",2010,601,25,483,32,83,90,42,16,14,37,38,190,55,249,NA,4,NA,112,13,16,75,8,175,412,10,4,0,9,359,44,171,18,20,11,NA,4,1,1,3,NA,469,3,4,6,280,56,9,2,109
98,"Anne Arundel County, MD",2010,4494,278,2143,240,717,701,299,151,107,297,284,1283,373,1692,3,36,3,870,125,130,571,44,1175,3216,46,57,3,24,2600,261,1432,174,142,66,NA,27,10,13,26,NA,3482,45,53,48,2180,444,42,7,663
99,"Baltimore City, MD",2010,5637,219,7345,228,753,693,303,181,107,281,394,2214,432,2688,5,42,4,1550,180,199,1081,90,2324,3206,48,59,12,56,3198,488,1595,288,350,162,NA,43,23,33,89,NA,3737,53,81,49,2270,575,90,13,606
100,"Baltimore County, MD",2010,6630,396,5682,367,1130,968,440,233,128,437,477,1810,567,2442,2,65,6,998,130,177,632,59,1371,5079,97,83,8,23,3912,268,2160,259,291,137,NA,55,24,36,39,NA,5341,74,134,80,3295,763,81,3,911
101,"Calvert County, MD",2010,669,40,622,21,106,110,55,23,18,55,38,192,47,239,4,NA,NA,85,15,14,54,2,131,517,7,14,1,5,406,25,201,31,31,18,NA,4,2,2,5,NA,553,23,10,6,334,62,9,1,108
102,"Caroline County, MD",2010,296,13,143,11,62,58,27,14,8,16,11,57,30,87,2,NA,NA,19,1,7,9,2,22,267,4,3,0,0,198,8,85,5,9,7,NA,0,1,1,NA,NA,268,2,2,4,175,25,3,NA,57
103,"Carroll County, MD",2010,1518,114,648,65,217,248,119,59,33,88,119,454,97,551,19,NA,NA,296,46,49,186,15,393,1090,16,19,0,11,893,93,469,52,51,27,NA,11,3,3,7,NA,1171,19,22,16,743,152,12,0,207
104,"Cecil County, MD",2010,991,40,522,46,152,136,80,28,14,54,59,375,45,420,2,NA,NA,260,56,38,144,22,340,627,13,11,0,13,606,71,255,46,36,20,NA,3,2,2,9,NA,695,13,7,6,460,86,13,2,108
105,"Charles County, MD",2010,994,53,366,43,146,158,66,37,11,90,82,296,57,353,8,NA,NA,205,25,23,144,13,300,675,9,10,0,2,558,53,337,44,41,13,NA,10,3,7,8,NA,748,24,6,4,461,103,18,NA,132
106,"Dorchester County, MD",2010,319,12,166,15,41,47,21,9,11,12,22,116,22,138,3,NA,NA,84,13,15,52,4,129,187,1,2,0,2,189,27,87,14,14,6,NA,1,3,1,3,NA,221,3,1,2,141,31,11,1,31
107,"Frederick County, MD",2010,1872,130,761,116,315,349,141,87,31,144,152,407,110,517,20,NA,NA,244,29,57,144,14,341,1483,27,21,2,6,1094,62,654,54,48,23,NA,14,4,2,5,NA,1580,20,28,14,1031,200,19,3,265
108,"Garrett County, MD",2010,308,14,163,11,52,34,19,11,6,15,37,100,21,121,2,NA,NA,63,4,25,32,2,81,202,23,2,1,1,174,16,110,6,9,6,NA,2,0,NA,1,NA,236,1,16,2,133,36,5,NA,43
109,"Harford County, MD",2010,2449,134,1146,126,368,409,163,80,53,148,178,740,154,894,30,NA,NA,530,96,95,315,24,742,1664,13,30,3,23,1427,163,756,77,88,40,NA,9,8,13,18,NA,1831,32,38,18,1179,222,31,1,310
110,"Howard County, MD",2010,1628,96,629,81,238,237,125,63,32,131,181,418,101,519,21,NA,NA,287,38,40,191,18,411,1173,25,19,2,5,924,87,560,50,60,34,NA,11,6,5,4,NA,1281,16,25,15,769,182,18,1,255
111,"Kent County, MD",2010,218,15,65,6,28,24,12,7,9,14,22,69,23,92,4,NA,NA,52,8,3,40,1,77,136,5,0,0,1,132,25,55,5,10,3,NA,1,4,1,1,NA,156,3,4,1,88,27,3,NA,30
112,"Montgomery County, MD",2010,596,46,410,46,96,106,33,17,18,33,48,147,48,195,4,NA,NA,61,6,7,42,6,81,503,2,10,0,0,356,12,199,29,29,11,NA,9,2,3,4,NA,506,7,9,8,316,86,4,1,75
113,"Prince Georges County, MD",2010,498,30,218,37,111,77,35,19,6,28,26,130,27,157,2,NA,NA,45,1,13,28,3,55,432,6,5,0,2,269,9,190,28,18,10,NA,2,3,1,2,NA,435,4,14,6,278,64,7,NA,62
114,"Queen Anne’s County, MD",2010,355,28,229,17,72,64,49,12,9,34,20,51,23,74,4,NA,NA,15,4,4,6,1,25,323,7,0,0,0,213,4,131,7,9,6,NA,0,0,NA,1,NA,333,4,6,0,229,36,5,NA,53
115,"Somerset County, MD",2010,146,12,152,8,20,29,8,5,1,11,8,40,14,54,2,NA,NA,22,5,5,12,0,35,108,2,1,0,1,77,4,57,7,7,7,NA,0,NA,NA,NA,NA,117,0,2,3,72,14,1,NA,25
116,"St. Mary’s County, MD",2010,946,30,505,47,152,163,82,31,14,61,46,287,60,347,3,NA,NA,187,22,20,131,14,285,639,7,15,1,5,542,72,295,31,28,18,NA,6,2,1,1,NA,731,28,10,3,480,81,9,2,118
117,"Talbot County, MD",2010,432,25,140,17,45,57,26,12,5,33,45,151,39,190,2,NA,NA,131,22,12,86,11,197,224,11,0,0,0,235,37,136,24,21,11,NA,1,3,2,4,NA,280,1,5,1,171,42,4,NA,56
118,"Washington County, MD",2010,1162,52,484,76,185,195,97,47,28,77,62,311,80,391,4,NA,NA,174,19,25,123,7,258,851,33,20,1,6,668,49,395,43,41,20,NA,10,5,2,4,NA,947,14,13,13,633,119,16,0,139
119,"Wicomico County, MD",2010,827,51,462,53,154,141,53,18,19,52,50,233,46,279,8,NA,NA,151,11,25,106,9,256,540,15,16,0,8,473,40,273,33,24,9,NA,2,2,5,6,NA,625,14,11,3,427,75,8,NA,114
120,"Worcester County, MD",2010,395,17,397,20,55,59,27,18,10,26,35,105,40,145,0,NA,NA,56,12,15,26,3,100,289,3,3,1,0,238,20,123,13,13,8,NA,2,1,NA,2,NA,326,6,2,2,188,59,8,NA,61
121,"Allegany County, MD",2011,640,26,430,31,80,90,47,28,9,34,36,230,50,284,NA,4,1,142,23,15,95,9,180,422,30,8,1,1,381,43,190,24,25,10,NA,6,0,3,6,NA,473,7,4,4,288,52,9,NA,109
122,"Anne Arundel County, MD",2011,4271,222,2139,211,675,635,297,143,94,303,307,1240,336,1604,1,28,1,824,143,115,528,38,1109,3015,101,46,2,26,2406,244,1451,142,143,68,NA,27,15,10,23,NA,3304,39,84,43,2008,449,48,3,630
123,"Baltimore City, MD",2011,5963,181,9351,244,747,659,328,184,83,300,442,2387,498,2951,17,66,8,1756,273,221,1161,101,2598,3178,110,77,18,72,3250,565,1717,341,375,161,NA,44,25,39,106,NA,3832,60,148,67,2256,549,85,10,657
124,"Baltimore County, MD",2011,6513,338,5579,339,1025,926,414,210,121,413,460,1942,585,2587,7,60,11,1078,137,170,707,64,1486,4744,203,80,3,31,3711,296,2150,322,276,145,NA,46,24,23,38,NA,5159,96,133,67,3035,760,93,4,971
125,"Calvert County, MD",2011,624,23,506,32,79,97,51,30,16,44,64,164,40,204,7,NA,NA,94,16,16,56,6,147,454,16,7,1,1,351,29,220,22,14,10,NA,0,1,1,2,NA,516,16,4,2,299,66,11,2,116
126,"Caroline County, MD",2011,255,7,104,17,54,42,22,16,4,14,24,45,16,61,1,NA,NA,11,1,3,5,2,19,217,15,4,0,0,154,1,92,8,11,7,NA,1,2,0,1,NA,233,2,0,1,150,37,1,1,41
127,"Carroll County, MD",2011,1492,98,605,64,205,235,97,51,28,128,121,424,128,552,11,NA,NA,296,56,32,186,22,404,1027,41,20,1,8,818,100,519,46,43,25,NA,3,0,3,12,NA,1153,24,26,10,683,148,17,2,243
128,"Cecil County, MD",2011,1039,38,487,42,125,123,61,30,16,75,83,407,73,480,4,NA,NA,313,61,40,186,26,431,570,27,11,1,16,594,99,282,47,41,25,NA,3,2,4,7,NA,685,16,26,4,398,82,11,0,148
129,"Charles County, MD",2011,950,34,270,54,144,121,57,35,22,65,79,296,71,367,6,NA,NA,202,28,20,139,15,323,603,12,12,3,6,515,58,326,32,35,15,NA,2,5,5,8,NA,713,25,14,3,427,91,10,NA,143
130,"Dorchester County, MD",2011,339,7,177,9,35,44,17,10,8,23,31,127,33,160,2,NA,NA,101,20,18,58,5,146,182,8,3,0,3,201,29,96,10,21,13,NA,3,0,1,4,NA,217,10,4,0,131,22,7,0,43
131,"Frederick County, MD",2011,1802,109,598,115,291,279,130,62,45,153,137,459,117,576,14,NA,NA,222,47,36,124,15,344,1369,72,17,2,4,1000,70,667,59,62,38,NA,5,4,4,11,NA,1518,19,27,11,916,209,28,1,307
132,"Garrett County, MD",2011,259,11,167,11,46,44,14,11,5,19,16,76,17,93,NA,NA,NA,35,2,11,20,2,62,186,9,2,0,2,155,7,86,9,8,4,NA,2,NA,1,1,NA,216,2,1,3,130,34,6,1,39
133,"Harford County, MD",2011,2308,113,982,101,354,331,151,66,44,152,186,716,190,906,17,NA,NA,493,97,80,286,30,674,1557,49,28,3,13,1242,170,784,97,82,40,NA,12,4,8,18,NA,1733,31,49,14,1031,234,29,0,345
134,"Howard County, MD",2011,1660,82,636,88,214,220,133,55,42,138,172,449,131,580,18,NA,NA,295,41,36,201,17,412,1184,46,18,4,6,905,81,591,73,67,38,NA,13,3,5,8,NA,1298,24,13,17,771,168,19,0,286
135,"Kent County, MD",2011,239,10,82,10,36,30,21,12,2,12,21,75,19,94,1,NA,NA,50,12,6,29,3,77,157,5,0,0,3,115,27,84,10,7,4,NA,1,0,1,1,NA,182,2,8,0,107,30,6,NA,29
136,"Montgomery County, MD",2011,589,46,357,41,109,123,47,14,17,38,35,135,23,158,7,NA,NA,52,8,13,30,1,69,506,6,8,0,2,325,8,226,28,17,8,NA,7,1,1,0,NA,520,10,15,8,342,68,5,0,72
137,"Prince Georges County, MD",2011,474,25,282,29,86,79,36,21,5,26,37,128,22,150,5,NA,NA,59,7,7,40,5,66,385,11,12,0,0,264,6,169,35,27,10,NA,6,1,1,9,NA,388,12,3,4,250,52,4,NA,63
138,"Queen Anne’s County, MD",2011,357,18,286,28,56,75,30,15,11,23,20,70,23,93,6,NA,NA,38,8,9,18,3,46,300,8,3,0,2,206,8,134,7,3,3,NA,0,0,NA,0,NA,316,3,3,3,210,37,3,NA,57
139,"Somerset County, MD",2011,133,8,112,4,22,25,7,5,3,7,7,42,15,57,0,NA,NA,15,7,2,5,1,32,94,6,1,0,2,75,4,47,5,4,4,NA,0,NA,NA,NA,NA,114,2,2,NA,67,14,1,1,27
140,"St. Mary’s County, MD",2011,926,30,474,35,132,135,67,41,24,60,66,305,56,361,5,NA,NA,189,25,27,121,16,328,567,24,7,0,3,535,56,287,46,47,20,NA,8,4,7,8,NA,690,22,8,4,412,78,23,2,141
141,"Talbot County, MD",2011,439,21,99,16,49,52,23,18,7,21,42,154,55,209,2,NA,NA,136,34,14,86,8,205,217,11,6,1,3,246,45,119,25,15,6,NA,2,0,1,6,NA,288,6,9,7,162,37,4,NA,63
142,"Washington County, MD",2011,1142,62,421,62,194,185,86,50,18,86,81,304,69,373,7,NA,NA,189,35,21,121,12,282,814,28,18,0,5,634,73,380,50,33,17,NA,4,3,3,6,NA,920,8,11,10,601,105,22,0,163
143,"Wicomico County, MD",2011,864,26,385,40,119,122,51,26,23,50,55,300,72,372,6,NA,NA,205,31,25,142,7,307,518,27,12,0,5,484,70,271,34,31,17,NA,4,2,2,6,NA,628,14,26,6,375,81,14,NA,112
144,"Worcester County, MD",2011,437,27,306,17,63,53,22,11,4,20,22,96,52,148,77,NA,NA,52,11,10,27,4,113,239,82,3,1,1,289,15,111,20,13,9,NA,0,NA,1,3,NA,372,10,81,6,169,39,4,NA,63
145,"Allegany County, MD",2012,681,17,461,20,76,105,28,17,17,49,40,251,61,320,6,8,3,156,33,25,91,7,218,405,47,11,2,11,371,44,223,30,35,23,NA,2,1,2,7,NA,490,14,7,4,283,64,3,NA,115
146,"Anne Arundel County, MD",2012,4072,187,1915,176,599,552,280,150,89,320,353,1196,325,1546,5,25,2,811,113,109,551,38,1147,2737,131,57,0,20,2325,270,1300,157,138,68,NA,33,9,4,24,NA,3123,50,56,30,1886,464,39,1,597
147,"Baltimore City, MD",2012,5827,173,11306,214,668,642,285,175,105,297,476,2401,498,2955,6,56,4,1754,316,225,1112,101,2665,2948,141,73,14,72,3243,628,1503,367,434,207,NA,50,16,53,108,NA,3639,64,104,61,2120,607,68,6,609
148,"Baltimore County, MD",2012,6514,326,5486,313,953,829,404,196,106,449,540,2047,592,2696,23,57,5,1226,227,202,736,61,1683,4504,250,77,4,36,3802,360,2041,271,299,150,NA,62,20,20,47,NA,4989,75,85,86,2897,758,94,2,992
149,"Calvert County, MD",2012,622,20,308,27,109,84,48,26,17,49,59,159,38,202,1,5,NA,80,15,12,49,4,124,458,27,13,0,5,363,31,205,18,24,14,NA,2,2,3,3,NA,518,15,7,13,309,65,12,0,97
150,"Caroline County, MD",2012,209,18,80,13,37,31,16,13,3,19,9,40,25,67,1,2,NA,12,2,5,4,1,22,170,15,2,0,0,125,3,77,4,6,4,NA,0,1,0,1,NA,191,2,2,3,128,15,2,0,39
151,"Carroll County, MD",2012,1417,76,440,56,199,185,90,55,29,88,129,457,115,584,1,12,1,292,59,30,190,13,396,955,50,16,4,7,840,106,411,49,69,46,NA,8,0,3,12,NA,1056,11,14,20,626,162,21,1,201
152,"Cecil County, MD",2012,918,23,369,39,125,102,54,28,18,61,67,349,67,423,NA,7,1,249,48,32,158,11,361,521,26,10,0,11,526,87,260,34,39,16,NA,4,2,3,14,NA,630,10,13,7,392,82,11,2,113
153,"Charles County, MD",2012,955,45,238,37,160,133,68,27,17,52,82,298,74,378,1,6,NA,190,42,24,117,7,316,615,14,10,1,6,590,51,276,31,52,25,NA,7,7,3,10,NA,713,21,18,2,441,99,9,NA,123
154,"Dorchester County, MD",2012,312,8,134,10,38,30,19,8,4,21,34,124,24,148,0,NA,NA,115,29,9,75,2,153,143,12,4,0,1,181,34,81,15,10,7,NA,0,0,0,3,NA,187,1,2,0,115,31,4,0,34
155,"Frederick County, MD",2012,1826,99,568,87,280,288,150,81,55,173,143,444,112,556,13,NA,NA,245,47,37,148,13,413,1328,66,19,0,3,1047,78,629,69,65,31,NA,11,6,5,12,NA,1516,18,35,23,968,175,15,1,281
156,"Garrett County, MD",2012,240,7,114,9,46,30,11,6,6,20,27,70,12,85,NA,3,NA,49,8,11,30,0,73,154,6,7,0,3,143,11,78,5,9,5,NA,1,NA,3,0,NA,182,5,5,4,114,24,6,0,24
157,"Harford County, MD",2012,2145,89,776,120,303,298,153,71,40,141,152,681,172,864,1,11,2,468,85,60,297,26,658,1435,31,21,3,17,1196,164,673,92,88,44,NA,11,5,6,22,NA,1589,23,27,15,961,201,23,0,339
158,"Howard County, MD",2012,1713,66,577,88,238,223,126,71,41,151,179,437,132,583,7,14,6,292,53,46,183,10,407,1217,83,6,1,8,985,74,589,56,59,25,NA,10,14,2,8,NA,1362,15,22,19,799,219,11,0,277
159,"Kent County, MD",2012,202,7,47,4,21,25,13,8,2,20,10,74,24,99,NA,1,NA,47,7,6,30,4,65,125,10,2,1,2,111,16,62,10,6,4,NA,0,0,2,0,NA,149,6,4,5,78,19,6,NA,31
160,"Montgomery County, MD",2012,507,29,353,23,98,100,45,24,14,31,29,111,27,142,1,4,NA,39,6,12,19,2,48,444,11,4,1,1,301,5,180,19,19,5,NA,3,3,4,4,NA,449,8,14,4,295,62,3,1,62
161,"Prince Georges County, MD",2012,444,17,215,35,84,73,37,19,7,17,32,117,21,140,NA,2,NA,46,6,12,27,1,67,370,3,4,1,0,259,8,155,21,21,6,NA,9,3,1,2,NA,377,7,5,10,247,58,3,NA,47
162,"Queen Anne’s County, MD",2012,321,20,171,17,52,43,34,8,7,28,21,82,27,111,NA,2,NA,30,5,8,16,1,67,241,9,4,0,1,180,13,118,9,14,7,NA,2,1,2,2,NA,277,2,4,0,164,48,3,NA,56
163,"Somerset County, MD",2012,147,5,94,6,18,28,8,7,2,16,3,43,16,59,0,NA,NA,8,6,1,1,0,30,115,1,1,0,2,91,5,44,5,6,3,NA,1,NA,NA,2,NA,133,2,1,NA,73,22,2,0,33
164,"St. Mary’s County, MD",2012,868,33,392,35,125,105,47,34,18,50,84,297,66,370,NA,7,NA,199,44,27,114,14,302,528,31,7,0,8,553,63,214,30,38,20,NA,7,2,2,7,NA,631,29,5,7,349,77,13,0,151
165,"Talbot County, MD",2012,397,7,111,17,37,39,23,9,7,29,33,159,42,203,NA,2,NA,117,36,17,61,3,186,202,7,2,0,5,242,41,90,19,28,12,NA,4,3,0,9,NA,252,7,5,5,129,43,7,NA,56
166,"Washington County, MD",2012,1202,26,434,62,166,174,88,64,34,96,68,335,105,450,NA,10,NA,186,21,30,125,10,318,825,45,14,1,10,705,62,380,44,52,30,NA,8,2,5,7,NA,964,13,15,10,601,103,18,1,203
167,"Wicomico County, MD",2012,788,20,270,42,101,99,52,23,20,54,64,262,63,330,3,5,NA,189,27,28,127,7,285,468,28,7,3,3,442,57,244,39,35,20,NA,6,0,3,6,NA,564,8,16,4,343,70,19,NA,104
168,"Worcester County, MD",2012,346,12,278,18,52,51,19,13,9,19,26,96,37,137,1,4,1,47,14,8,22,3,93,240,10,3,0,3,212,20,97,14,13,7,NA,4,2,0,0,NA,286,7,10,5,158,39,13,NA,54
169,"Allegany County, MD",2013,638,29,396,28,70,71,32,28,9,40,46,236,76,313,NA,1,1,160,21,15,117,7,231,365,36,6,0,2,361,45,196,34,13,11,NA,1,0,0,1,NA,465,7,6,5,256,66,3,NA,122
170,"Anne Arundel County, MD",2013,3830,176,1545,192,543,514,271,125,81,322,338,1105,318,1440,2,17,2,775,123,101,521,30,1131,2557,97,45,2,16,2207,263,1204,138,145,70,NA,18,25,11,21,NA,2910,60,51,31,1750,345,51,1,621
171,"Baltimore City, MD",2013,5539,112,10313,238,716,541,285,148,91,314,437,2194,528,2760,4,38,5,1673,273,216,1119,65,2514,2827,132,66,13,53,3123,586,1411,353,375,192,NA,29,34,36,84,NA,3491,49,110,58,2099,495,71,6,603
172,"Baltimore County, MD",2013,6326,246,4607,321,939,834,380,201,134,441,524,1877,608,2542,5,57,5,1150,187,189,733,41,1575,4408,266,77,4,30,3697,339,1983,273,288,139,NA,40,32,27,50,NA,4888,68,117,62,2895,708,74,2,962
173,"Calvert County, MD",2013,586,16,293,31,81,104,34,24,7,45,47,161,46,213,NA,6,NA,93,17,21,53,2,156,410,16,4,0,2,359,40,171,14,19,9,NA,5,2,0,3,NA,474,30,3,6,288,55,8,0,84
174,"Caroline County, MD",2013,228,20,58,14,36,37,22,11,13,14,17,48,16,64,NA,NA,NA,14,2,2,10,0,18,191,16,3,0,1,138,6,73,10,5,3,NA,0,1,0,1,NA,209,4,5,0,132,17,4,0,47
175,"Carroll County, MD",2013,1466,89,393,75,167,201,86,45,24,114,127,491,118,626,NA,17,1,328,49,47,216,16,450,967,34,15,3,12,837,108,441,65,63,36,NA,7,5,0,15,NA,1075,30,17,17,617,160,16,2,216
176,"Cecil County, MD",2013,830,25,206,43,109,104,50,28,13,72,59,295,53,352,NA,4,0,211,43,32,123,13,320,479,26,5,0,13,467,80,240,30,21,8,NA,4,2,4,3,NA,598,9,7,2,370,88,10,0,112
177,"Charles County, MD",2013,842,22,182,42,110,134,48,20,20,46,77,269,69,343,2,5,NA,177,32,30,112,3,288,538,11,5,0,5,496,64,241,36,34,17,NA,6,4,2,5,NA,631,14,14,8,373,85,11,NA,126
178,"Dorchester County, MD",2013,271,9,106,13,37,29,15,12,6,26,13,90,29,119,NA,NA,1,74,11,13,50,0,106,149,14,2,0,2,154,16,92,7,9,4,NA,1,1,1,2,NA,188,4,1,0,119,26,4,0,34
179,"Frederick County, MD",2013,1758,90,413,79,299,256,127,67,39,145,157,444,125,585,3,16,1,241,48,36,149,8,366,1294,83,15,0,9,1000,77,615,57,61,26,NA,8,8,8,11,NA,1456,17,30,10,891,192,18,1,297
180,"Garrett County, MD",2013,217,11,115,10,41,33,16,7,3,18,12,57,18,75,2,NA,NA,31,3,6,21,1,51,151,9,6,0,1,123,11,68,14,11,6,NA,1,NA,4,0,NA,175,2,1,0,114,21,2,1,34
181,"Harford County, MD",2013,1984,83,555,100,284,297,120,57,49,135,188,576,166,754,NA,12,NA,398,79,59,243,17,592,1326,51,15,3,20,1139,147,588,87,91,48,NA,11,6,3,23,NA,1495,15,22,22,912,196,36,1,291
182,"Howard County, MD",2013,1673,71,394,68,248,200,99,55,38,181,186,442,140,595,2,13,1,288,42,34,200,12,410,1159,92,12,0,6,899,92,612,64,64,37,NA,5,6,2,14,NA,1321,21,25,24,753,190,9,1,298
183,"Kent County, MD",2013,208,3,37,6,23,27,18,4,6,13,13,73,24,98,NA,1,NA,47,4,10,26,7,75,124,7,2,1,3,120,14,63,7,9,6,NA,0,0,0,3,NA,152,3,0,2,89,18,3,1,36
184,"Montgomery County, MD",2013,424,36,242,30,71,63,36,26,18,21,29,95,29,130,NA,6,NA,43,7,10,25,1,50,362,8,4,1,0,250,9,144,20,13,5,NA,3,1,3,1,NA,368,11,5,4,235,44,6,0,63
185,"Prince Georges County, MD",2013,416,17,150,39,82,65,24,17,8,26,20,106,23,135,NA,6,NA,33,9,8,15,1,45,361,7,3,0,0,251,4,138,23,20,9,NA,8,1,1,1,NA,363,4,6,5,233,43,4,NA,68
186,"Queen Anne’s County, MD",2013,314,13,126,21,47,45,22,17,9,27,25,77,20,101,NA,4,NA,27,8,5,12,2,62,238,10,4,1,1,178,16,111,7,10,7,NA,1,1,0,1,NA,277,4,6,2,165,44,5,NA,51
187,"Somerset County, MD",2013,111,5,64,6,17,17,2,4,6,7,9,24,16,40,3,NA,NA,13,3,2,8,NA,22,76,9,4,0,0,69,4,33,5,2,1,NA,1,NA,NA,NA,NA,96,1,4,NA,56,16,0,NA,19
188,"St. Mary’s County, MD",2013,846,27,360,41,122,121,54,27,17,55,85,254,63,322,NA,5,2,199,36,30,121,12,298,507,36,5,1,8,482,57,265,33,30,19,NA,3,3,0,5,NA,617,21,6,6,370,74,15,NA,125
189,"Talbot County, MD",2013,309,21,98,10,22,33,24,10,9,19,30,101,48,150,1,1,1,94,12,17,59,6,135,152,19,3,0,3,166,30,96,14,11,7,NA,2,0,0,2,NA,204,3,11,2,116,24,6,NA,42
190,"Washington County, MD",2013,1223,32,360,56,176,177,78,42,32,76,101,374,101,485,NA,10,NA,239,24,34,173,8,385,769,55,14,2,12,687,100,374,48,48,17,NA,6,6,4,15,NA,936,14,7,12,603,117,7,NA,176
191,"Wicomico County, MD",2013,753,22,247,39,103,114,52,15,18,48,47,228,84,316,1,4,NA,157,19,17,114,7,282,435,33,3,2,7,439,64,227,14,30,13,NA,5,5,3,4,NA,566,12,17,12,343,53,9,NA,120
192,"Worcester County, MD",2013,352,11,263,11,37,44,31,12,7,23,25,101,57,161,NA,3,1,55,10,7,36,2,106,232,12,2,0,7,204,22,110,9,22,16,NA,1,0,4,1,NA,275,4,0,10,141,45,6,NA,69
193,"Allegany County, MD",2014,539,20,321,19,54,85,27,9,9,26,47,199,62,261,2,NA,NA,122,18,26,72,6,185,311,36,7,1,4,336,36,140,22,21,17,NA,1,0,0,3,NA,396,3,4,5,219,46,13,NA,106
194,"Anne Arundel County, MD",2014,3598,164,1322,181,487,463,201,123,69,282,364,1113,289,1402,26,NA,NA,815,127,110,547,31,1161,2281,115,41,3,27,2156,252,1024,136,104,45,NA,17,16,8,18,NA,2679,47,102,41,1533,357,46,NA,553
195,"Baltimore City, MD",2014,5130,113,6964,195,635,486,212,110,73,289,393,2095,468,2563,174,NA,NA,1567,247,192,1029,99,2467,2479,126,58,10,69,2935,578,1235,303,342,139,NA,34,30,34,105,NA,3221,40,234,37,1787,465,86,3,569
196,"Baltimore County, MD",2014,5555,215,3262,255,796,693,365,186,103,417,435,1696,539,2235,70,NA,NA,1011,136,153,682,40,1448,3805,235,67,0,22,3319,284,1705,225,256,120,NA,55,28,25,28,NA,4288,44,117,59,2462,617,78,1,910
197,"Calvert County, MD",2014,531,20,145,22,84,91,42,13,7,35,39,143,45,188,10,NA,NA,86,11,19,55,1,151,357,20,3,0,4,305,33,166,23,24,13,NA,3,1,1,6,NA,421,14,5,4,253,59,8,0,78
198,"Caroline County, MD",2014,210,14,58,12,39,50,17,7,7,11,10,45,12,57,NA,NA,NA,14,2,3,9,0,19,172,17,2,0,0,127,5,72,6,7,3,NA,3,0,1,0,NA,189,0,0,0,136,21,2,0,30
199,"Carroll County, MD",2014,1347,63,291,46,184,155,61,47,35,92,136,451,133,584,7,NA,NA,327,49,56,209,13,445,827,64,11,1,11,783,103,402,47,60,36,NA,12,6,1,5,NA,960,11,13,13,545,134,14,1,229
200,"Cecil County, MD",2014,829,20,179,34,104,113,40,22,17,67,64,302,63,365,3,NA,NA,225,42,29,142,12,323,474,25,7,0,9,481,97,217,25,30,14,NA,2,2,3,9,NA,574,12,3,4,332,83,20,1,119
201,"Charles County, MD",2014,894,18,177,43,109,107,56,25,15,58,77,316,83,399,5,NA,NA,214,35,31,135,13,363,512,10,9,2,8,525,67,253,39,28,12,NA,6,2,4,4,NA,652,17,19,3,369,95,19,1,129
202,"Dorchester County, MD",2014,282,5,145,16,34,38,13,6,5,22,26,94,27,121,1,NA,NA,79,11,15,49,4,111,165,6,0,0,4,175,26,72,5,8,5,NA,0,1,0,2,NA,195,1,2,1,118,28,5,0,40
203,"Frederick County, MD",2014,1631,91,224,76,271,229,102,56,16,117,167,440,138,578,19,NA,NA,315,40,55,205,15,443,1088,82,18,1,10,949,101,522,48,49,26,NA,8,9,2,7,NA,1267,14,24,11,774,151,19,1,273
204,"Garrett County, MD",2014,202,8,90,8,42,28,19,6,3,10,15,53,16,69,2,NA,NA,40,6,5,28,1,69,121,6,3,0,0,120,11,62,9,3,1,NA,1,NA,0,1,NA,159,5,1,0,110,16,6,0,21
205,"Harford County, MD",2014,1876,59,433,121,292,238,108,65,38,106,151,571,169,740,17,NA,NA,391,61,50,259,21,610,1201,45,20,0,10,1057,144,594,71,81,30,NA,16,12,4,19,NA,1404,26,24,8,831,147,20,2,346
206,"Howard County, MD",2014,1530,60,335,65,201,181,82,53,45,144,183,438,124,562,14,NA,NA,313,28,39,233,13,453,985,82,10,2,11,891,78,494,54,70,33,NA,13,9,6,9,NA,1147,23,33,24,643,154,13,3,254
207,"Kent County, MD",2014,187,3,42,9,23,23,16,1,4,8,11,73,19,92,NA,NA,NA,55,7,8,38,2,83,95,5,4,0,3,97,27,51,9,6,5,NA,0,0,0,1,NA,126,1,0,0,76,20,4,0,25
