fileNo,County,Year,Totalhumanexposures,AnimalExposures,InformationCalls,Age_Under12mo,Age_1yr,Age_2yr,Age_3yr,Age_4yr,Age_5yr,Age_6-12yr,Age_13-19yr,Age_20-59yr,Age_Over60yr,Age_Adult,Age_Unknown,Age_UnknownAdult,Age_UnknownChild,Intentional,Intentional_Abuse,Intentional_Misuse,Intentional_SuspectedSuicide,Intentional_Unknown,ManageSite_HealthcareFacility,ManageSite_OnSite.NonHealthcareFacility,ManageSite_Other.Unknown,ManageSite_RefusedReferral,MedOutcome_Death,MedOutcome_MajorEffect,MedOutcome_MinorEffect,MedOutcome_ModerateEffect,MedOutcome_NoEffect,MedOutcome_Other.Unknown,OtherReason,Other_AdverseReaction.Drug,Other_AdverseReaction.Food,Other_AdverseReaction.Other,Other_Contamination.Tampering,Other_Malicious,Other_Other.Unknown,Other_Withdrawal,Unintentional,Unintentional_Bite.Sting,Unintentional_Environmental,Unintentional_FoodPoisoning,Unintentional_General,Unintentional_Misuse,Unintentional_Occupational,Unintentional_Other.Unknown,Unintentional_TherapeuticError
22,"Washington County, MD",2006,1107,48,601,62,204,216,95,41,25,82,73,NA,NA,293,16,NA,NA,132,12,15,104,1,240,843,16,8,2,7,634,39,400,23,32,18,NA,5,1,6,2,NA,943,9,6,2,730,63,15,1,117
23,"Wicomico County, MD",2006,822,35,531,36,136,125,50,33,19,54,71,NA,NA,282,16,NA,NA,166,13,15,133,5,297,510,4,11,2,11,454,49,274,30,22,16,NA,1,2,1,2,NA,634,9,9,NA,457,54,13,1,91
24,"Worcester County, MD",2006,388,24,438,25,73,61,36,11,4,18,21,NA,NA,138,1,NA,NA,43,7,6,28,2,93,289,1,5,3,2,240,14,122,7,13,12,NA,NA,NA,NA,1,NA,332,5,1,2,237,27,5,NA,55
25,"Allegany County, MD",2007,557,28,603,30,84,83,34,15,9,40,33,NA,NA,229,0,NA,NA,104,20,5,73,6,149,385,16,7,1,8,320,19,193,16,18,12,NA,1,0,3,2,NA,434,6,2,4,303,35,3,NA,81
26,"Anne Arundel County, MD",2007,4651,331,2706,260,773,734,333,163,118,308,388,NA,NA,1569,5,NA,NA,880,122,106,627,25,1277,3275,47,52,2,23,2695,278,1494,154,112,53,NA,18,10,13,18,NA,3658,51,43,34,2603,323,62,3,539
27,"Baltimore City, MD",2007,5541,220,6886,281,870,739,333,137,99,292,411,NA,NA,2358,20,NA,NA,1335,117,166,1001,51,2023,3401,45,71,9,54,3063,375,1755,279,217,113,NA,25,10,24,45,NA,3985,52,111,59,2750,385,91,8,529
28,"Baltimore County, MD",2007,6376,415,6739,315,1038,1063,461,224,138,420,509,NA,NA,2202,6,NA,NA,998,109,142,718,29,1450,4779,78,69,6,26,3729,266,2100,241,171,92,NA,34,9,15,21,NA,5206,78,86,76,3604,484,78,5,795
29,"Calvert County, MD",2007,751,32,536,47,140,140,59,31,13,55,50,NA,NA,215,1,NA,NA,83,10,17,55,1,132,606,3,10,1,1,450,23,251,25,19,9,NA,2,3,2,3,NA,649,12,9,4,462,45,11,NA,106
30,"Caroline County, MD",2007,303,13,179,28,68,56,19,14,7,28,20,NA,NA,63,0,NA,NA,18,2,6,9,1,27,272,2,2,0,0,177,3,112,11,3,3,NA,NA,NA,NA,NA,NA,282,4,1,NA,208,20,6,NA,43
31,"Carroll County, MD",2007,1590,100,879,80,281,258,135,64,43,121,135,NA,NA,473,NA,NA,NA,212,31,25,147,9,323,1235,18,14,5,11,894,62,571,43,41,28,NA,3,2,3,5,NA,1335,23,28,12,958,93,18,1,202
32,"Cecil County, MD",2007,1021,41,593,58,145,182,72,20,22,75,83,NA,NA,364,NA,NA,NA,205,22,28,150,5,299,704,9,9,1,4,634,46,304,31,22,9,NA,6,2,3,2,NA,794,11,11,11,552,69,34,NA,96
33,"Charles County, MD",2007,922,55,542,36,195,151,65,28,22,70,71,NA,NA,284,NA,NA,NA,147,22,27,95,3,239,673,4,6,0,3,555,52,285,27,22,12,NA,4,NA,3,3,NA,753,21,3,6,539,61,8,1,114
34,"Dorchester County, MD",2007,251,13,126,16,36,41,18,9,7,14,18,NA,NA,92,NA,NA,NA,57,9,8,40,NA,84,160,6,1,0,2,153,10,77,8,4,3,NA,1,NA,0,NA,NA,190,2,0,0,140,17,2,NA,29
35,"Frederick County, MD",2007,1892,109,803,95,408,354,165,86,48,149,120,NA,NA,464,3,NA,NA,207,26,29,146,6,330,1533,9,20,0,5,1050,59,721,55,34,23,NA,4,3,3,1,NA,1651,21,7,13,1234,128,22,NA,226
36,"Garrett County, MD",2007,256,9,272,16,43,42,24,5,7,17,16,NA,NA,86,NA,NA,NA,36,8,4,24,NA,73,176,1,6,0,1,144,10,90,11,7,4,NA,1,NA,NA,2,NA,213,4,2,7,150,11,4,NA,35
37,"Harford County, MD",2007,2490,149,1650,124,425,423,175,89,56,172,193,NA,NA,830,3,NA,NA,446,65,45,326,10,650,1791,23,26,1,11,1466,111,805,93,63,31,NA,9,3,12,8,NA,1978,24,22,16,1419,151,34,2,310
38,"Howard County, MD",2007,1871,146,841,108,327,320,135,69,42,155,169,NA,NA,544,2,NA,NA,247,28,39,173,7,358,1479,20,14,0,6,1055,68,687,54,34,18,NA,8,1,2,5,NA,1590,18,19,17,1111,138,29,NA,258
39,"Kent County, MD",2007,206,9,92,14,39,35,15,5,3,10,14,NA,NA,71,NA,NA,NA,25,3,1,21,NA,47,154,4,1,0,0,113,10,72,11,6,NA,NA,NA,1,2,3,NA,175,3,2,5,117,16,5,NA,27
40,"Montgomery County, MD",2007,518,78,377,27,68,64,40,21,16,39,42,NA,NA,200,1,NA,NA,71,11,6,53,1,99,398,11,10,0,2,309,12,170,25,10,1,NA,4,2,1,2,NA,437,8,4,11,293,54,11,NA,56
41,"Prince Georges County, MD",2007,491,54,329,35,95,67,29,16,14,37,26,NA,NA,168,4,NA,NA,45,6,8,30,1,81,405,1,4,0,2,296,15,164,13,13,8,NA,2,NA,2,1,NA,432,9,5,13,297,45,6,NA,57
42,"Queen Anne’s County, MD",2007,374,24,199,21,53,72,31,21,7,48,28,NA,NA,93,NA,NA,NA,21,6,3,11,1,21,335,12,6,0,0,228,4,132,9,5,1,NA,2,NA,2,NA,NA,348,2,7,5,243,40,6,NA,45
43,"Somerset County, MD",2007,138,8,236,7,20,24,15,3,3,16,8,NA,NA,42,NA,NA,NA,14,NA,2,11,1,31,104,1,2,0,0,83,3,46,6,1,1,NA,NA,NA,NA,NA,NA,123,6,NA,3,88,8,2,NA,16
44,"St. Mary’s County, MD",2007,1015,61,663,52,174,166,86,28,17,71,81,NA,NA,340,NA,NA,NA,170,23,27,114,6,296,694,15,10,0,5,597,58,320,34,32,18,NA,5,NA,7,2,NA,812,23,18,11,556,75,16,NA,113
45,"Talbot County, MD",2007,395,23,176,13,60,65,20,11,9,23,31,NA,NA,162,1,NA,NA,88,18,11,58,1,153,235,2,5,1,3,208,40,122,20,11,7,NA,3,NA,NA,1,NA,296,2,2,4,203,31,13,NA,41
46,"Washington County, MD",2007,1166,46,619,56,196,204,106,55,32,88,71,NA,NA,358,NA,NA,NA,178,27,25,123,3,258,873,21,14,2,5,679,51,389,40,25,16,NA,2,NA,6,1,NA,963,18,6,6,723,63,12,NA,117
47,"Wicomico County, MD",2007,815,51,485,45,136,119,67,28,12,56,61,NA,NA,291,NA,NA,NA,158,10,24,120,4,267,531,10,7,0,4,427,49,307,27,25,17,NA,1,3,3,1,NA,632,12,8,3,434,55,8,NA,112
48,"Worcester County, MD",2007,370,30,477,22,69,59,21,15,4,20,31,NA,NA,129,NA,NA,NA,48,13,3,32,NA,90,272,4,4,0,1,208,18,135,8,15,6,1,NA,6,1,1,NA,307,3,4,3,201,28,7,NA,61
49,"Allegany County, MD",2008,584,33,556,28,81,91,54,10,17,35,44,NA,NA,223,1,NA,NA,105,10,10,83,2,149,416,12,7,1,3,353,22,187,16,18,9,NA,4,0,4,1,NA,460,9,4,1,297,49,7,NA,93
50,"Anne Arundel County, MD",2008,4722,318,2633,262,807,734,338,152,96,338,339,NA,NA,1649,7,NA,NA,898,118,129,620,31,1249,3373,54,46,4,32,2687,260,1549,188,145,73,NA,24,14,8,26,NA,3676,56,60,30,2465,431,57,4,573
51,"Baltimore City, MD",2008,5520,263,6483,232,850,774,300,162,90,308,390,NA,NA,2394,20,NA,NA,1375,140,183,1005,47,1983,3412,51,74,12,51,3111,390,1664,287,258,116,NA,23,16,45,58,NA,3885,68,70,65,2496,511,67,5,603
52,"Baltimore County, MD",2008,6634,462,6516,365,1076,1086,478,254,120,489,456,NA,NA,2301,9,NA,NA,1028,102,183,707,36,1429,5033,97,75,6,23,3920,258,2184,236,229,124,NA,34,16,25,30,NA,5376,86,77,67,3505,681,82,3,874
53,"Calvert County, MD",2008,762,43,586,35,83,157,72,22,16,50,62,NA,NA,265,0,NA,NA,110,10,22,74,4,160,589,4,9,0,2,479,26,234,20,27,12,NA,6,2,3,4,NA,625,24,3,2,402,66,9,1,118
54,"Caroline County, MD",2008,282,23,149,16,65,62,28,9,6,19,19,NA,NA,58,0,NA,NA,9,2,2,5,NA,12,264,4,2,0,0,164,3,107,8,4,3,NA,NA,NA,1,NA,NA,269,3,3,1,192,24,5,NA,41
55,"Carroll County, MD",2008,1629,121,838,79,299,253,128,65,30,132,140,NA,NA,500,3,NA,NA,261,43,44,164,10,365,1238,17,9,1,6,970,73,529,47,42,16,NA,8,4,6,8,NA,1326,30,31,10,866,163,14,NA,212
56,"Cecil County, MD",2008,1037,57,519,52,193,157,59,32,18,70,74,NA,NA,380,2,NA,NA,243,33,32,169,9,347,673,9,8,0,13,601,74,311,37,26,14,NA,3,1,3,5,NA,766,11,13,12,531,91,17,NA,91
57,"Charles County, MD",2008,1012,79,514,46,183,153,76,34,25,72,82,NA,NA,341,NA,NA,NA,182,26,31,118,7,270,718,11,13,1,4,583,47,335,39,34,12,NA,5,3,7,7,NA,796,22,8,8,537,98,11,NA,112
58,"Dorchester County, MD",2008,289,16,114,18,47,51,19,10,1,19,20,NA,NA,104,NA,NA,NA,67,4,9,48,6,101,185,2,1,0,0,171,16,83,19,10,5,NA,NA,NA,2,3,NA,212,6,11,0,148,21,2,NA,24
59,"Frederick County, MD",2008,1983,150,719,106,373,391,193,92,59,135,139,NA,NA,493,2,NA,NA,234,22,42,163,7,371,1585,13,14,3,7,1216,63,643,51,42,19,NA,10,0,2,11,NA,1707,18,20,11,1225,166,28,1,238
60,"Garrett County, MD",2008,270,17,238,16,47,52,14,17,5,16,21,NA,NA,82,NA,NA,NA,42,5,11,25,1,69,195,3,3,1,4,155,11,91,8,4,3,NA,NA,1,NA,NA,NA,224,4,6,2,157,16,6,NA,33
61,"Harford County, MD",2008,2491,174,1522,121,459,374,166,86,69,176,219,NA,NA,818,3,NA,NA,501,56,63,370,12,669,1782,11,29,1,10,1433,121,840,86,75,39,NA,16,3,8,9,NA,1915,26,24,18,1307,208,28,1,303
62,"Howard County, MD",2008,1796,139,813,96,308,281,145,70,57,152,169,NA,NA,517,1,NA,NA,215,26,40,146,3,323,1437,25,11,1,4,1072,62,610,47,44,21,NA,8,7,4,3,1,1537,25,14,20,961,205,16,NA,296
63,"Kent County, MD",2008,249,9,75,8,37,44,20,14,1,17,27,NA,NA,81,NA,NA,NA,47,5,11,30,1,67,178,3,1,0,1,145,14,84,5,8,2,NA,1,1,2,2,NA,194,3,2,2,132,26,2,2,25
64,"Montgomery County, MD",2008,463,109,316,26,82,67,28,18,12,36,31,NA,NA,162,1,NA,NA,64,9,10,44,1,81,373,5,4,0,1,272,13,151,26,19,4,NA,5,7,1,2,NA,380,7,8,12,260,44,4,1,44
65,"Prince Georges County, MD",2008,519,46,289,30,122,76,49,21,7,34,36,NA,NA,144,NA,NA,NA,57,5,13,37,2,72,439,2,6,0,1,319,9,173,17,13,5,NA,2,2,1,3,NA,449,2,2,6,319,56,6,NA,58
66,"Queen Anne’s County, MD",2008,390,26,264,16,76,67,41,13,9,35,39,NA,NA,94,NA,NA,NA,16,5,4,5,2,22,347,16,5,0,0,231,6,140,13,15,6,NA,3,NA,5,1,NA,359,6,6,5,232,40,4,NA,66
67,"Somerset County, MD",2008,155,13,211,8,19,24,9,5,4,17,9,NA,NA,60,NA,NA,NA,13,2,NA,10,1,36,111,6,2,0,3,99,6,41,6,5,5,NA,NA,NA,NA,NA,NA,137,NA,NA,3,79,21,2,NA,32
68,"St. Mary’s County, MD",2008,1026,50,718,59,172,196,91,29,31,60,71,NA,NA,317,NA,NA,NA,185,16,20,146,3,276,736,6,8,1,5,603,59,329,29,34,20,NA,3,NA,2,9,NA,807,29,5,5,579,75,9,NA,105
69,"Talbot County, MD",2008,395,24,181,11,47,43,24,13,9,36,37,NA,NA,175,NA,NA,NA,110,14,17,76,3,152,230,9,4,0,3,220,27,121,24,13,5,NA,4,1,NA,3,NA,272,3,1,3,158,44,13,NA,50
70,"Washington County, MD",2008,1133,60,565,60,202,187,82,60,22,85,79,NA,NA,350,6,NA,NA,155,16,29,103,7,220,868,30,14,2,8,675,63,356,29,41,10,NA,8,16,6,1,NA,937,9,8,1,656,117,18,NA,128
71,"Wicomico County, MD",2008,821,52,512,45,118,128,64,36,26,55,58,NA,NA,291,NA,NA,NA,154,16,28,103,7,239,574,2,6,1,3,456,51,273,37,28,18,NA,6,1,1,2,NA,639,18,5,9,412,72,12,1,110
72,"Worcester County, MD",2008,389,28,456,19,67,55,29,12,4,31,25,NA,NA,147,NA,NA,NA,44,5,9,28,2,87,295,2,5,2,2,227,14,125,19,21,12,NA,5,1,1,1,1,324,4,1,7,187,53,13,NA,59
73,"Allegany County, MD",2009,599,29,529,25,98,76,29,21,12,43,37,NA,NA,258,NA,NA,NA,125,18,16,86,5,173,405,16,5,0,6,339,43,186,25,17,6,NA,7,0,0,4,NA,457,8,3,2,272,50,10,NA,112
74,"Anne Arundel County, MD",2009,4966,319,2320,248,843,832,321,151,99,344,320,NA,NA,1783,25,NA,NA,910,118,146,605,41,1289,3561,79,37,2,20,3007,249,1525,163,156,76,NA,22,28,9,21,NA,3900,67,79,25,2509,477,71,2,670
75,"Baltimore City, MD",2009,5536,219,6659,253,882,784,306,160,100,268,389,NA,NA,2379,15,NA,NA,1390,143,185,1003,59,2078,3349,55,54,9,55,3186,400,1616,270,257,117,NA,31,20,22,67,NA,3889,60,115,63,2490,514,73,11,563
76,"Baltimore County, MD",2009,6847,456,6125,360,1113,1071,498,232,163,484,476,NA,NA,2433,17,NA,NA,1003,116,183,671,33,1424,5231,111,81,2,25,3980,277,2304,259,241,133,NA,41,19,19,29,NA,5603,98,123,81,3503,742,99,2,955
77,"Calvert County, MD",2009,774,39,685,39,130,148,51,13,17,60,62,NA,NA,254,0,NA,NA,106,13,18,72,3,168,596,5,5,1,8,455,26,257,27,20,14,NA,2,2,0,2,NA,648,26,1,6,404,74,11,0,126
